Aircraft model,Engines,First flight
Northrop YC-125 Raider,piston (3),1949
Piaggio PD.808,jet (2),1964
Pilatus PC-24,jet (2),2015
Piper PA-47 PiperJet,jet (1),2008
Potez 62,piston (2),1935
Potez 840,turboprop (4),1961
Potez-CAMS 161,piston (6),1942
PTDI N219,turboprop (2),2017
PZL MD-12,piston (4),1959
PZL-Mielec M28,turboprop (2),1993
Raytheon Premier 1,jet (2),1998
Reims-Cessna F406 Caravan II,turboprop (2),1983
Rockwell 1121 Jet Commander,jet (2),1963
Rockwell Sabreliner,jet (2),1958
Rohrbach Ro X Romar,piston (3),1928
SAAB 2000,turboprop (2),1992
SAAB 340,turboprop (2),1983
SAAB Scandia,piston (2),1946
Saunders ST-27,turboprop (2),1969
Savoia-Marchetti S.66,piston (3),1931
Savoia-Marchetti S.73,piston (3),1934
Savoia-Marchetti S.74,piston (4),1934
Savoia-Marchetti SM.75,piston (3),1938
Savoia-Marchetti SM.95,piston (4),1943
Scottish Aviation Twin Pioneer,piston (2),1955
Shijiazhuang Y-5,piston (1),1957
Shin Meiwa PS-1,turboprop (4),1967
ShinMaywa US-2,turboprop (4),2003
Short L.17 Scylla,piston (4),1934
Short S.17 Kent,piston (4),1931
Short S.23 Empire,piston (4),1936
Short S.25 Sandringham/Sunderland,piston (4),1937
Short S.26 G Class,piston (4),1939
Short S.45 Solent,piston (4),1946
Short S.8 Calcutta,piston (3),1928
Shorts 330,turboprop (2),1974
Shorts 360,turboprop (2),1981
Shorts SC.7 Skyvan,turboprop (2),1963
Sikorsky S.42,piston (4),1934
Sikorsky S.43,piston (2),1935
Sikorsky VS-44,piston (4),1937
SNCAC NC.211 Cormoran,piston (4),1948
SNCASE (Lioré et Olivier) H.246,piston (4),1937
SNCASE SE.161 Languedoc,piston (4),1939
SNCASE SE.200,piston (6),1942
SNCASE SE.2010 Armagnac,piston (4),1949
SNCASO Corse,piston (2),1945
SNCASO SO.30,piston (2),1945
Spectrum Aeronautical Spectrum 33,jet (2),2006
Sud Aviation SE-210 Caravelle,jet (2),1955
Sukhoi Su-80,turboprop (2),2001
Sukhoi Superjet 100,jet (2),2008
Swearingen Merlin IV,turboprop (2),1970
Swearingen Metro,turboprop (2),1969
Swearingen Metro / Merlin IV,turboprop (2),1969
SyberJet SJ30-2,jet (2),1991
Transall C-160,turboprop (2),1963
Tupolev ANT-20,piston (8),1934
Tupolev G-2,piston (4),1930
Tupolev Tu-104,jet (2),1955
Tupolev Tu-114,turboprop (4),1957
Tupolev Tu-124,jet (2),1960
Tupolev Tu-134,jet (2),1963
Tupolev Tu-144,jet (4),1968
Tupolev Tu-154,jet (3),1968
Tupolev Tu-204,jet (2),1989
Tupolev Tu-334,jet (2),1999
VFW-614,jet (2),1971
Vickers 170 Vanguard,piston (2),1923
Vickers Valentia,piston (2),1934
Vickers Valetta,piston (2),1947
Vickers Vanguard,turboprop (4),1959
Vickers Varsity,piston (2),1949
Vickers VC10,jet (4),1962
Vickers Viking,piston (2),1945
Vickers Viscount,turboprop (4),1948
Volpar Turboliner,turboprop (2),1967
Xian Y-20,jet (4),2013
Xian Yunshuji Y-7,turboprop (2),1970
Yakovlev Yak-40,jet (3),1966
Yakovlev Yak-42,jet (3),1975
Yunshuji Y-12,turboprop (2),1984
