Airport name,IATA code,ICAO code
"Lismore Airport, NSW",LSY,YLIS
"Lockhart River Airport, QLD",IRG,YLHR
"Longreach Airport, QLD",LRE,YLRE
"Lord Howe Island Airport, NSW",LDH,YLHI
"Mabuiag Island Airport, QLD",UBB,YMAA
"Mackay Airport, QLD",MKY,YBMK
"Mallacoota Airport, VIC",XMC,YMCO
"Mallala RAAF Base, SA",,
"Mangalore Airport, VIC",,YMNG
"Mareeba Airport, QLD",MRG,YMBA
"Melbourne (unknown airport), VIC",,
"Melbourne-Essendon Airport, VIC",MEB,YMEN
"Melbourne-Tullamarine Airport, VIC",MEL,YMML
"Moomba Airport, SA",MOO,YOOM
"Moorabbin Airport, VIC",MBW,YMMB
"Moreton Airport, QLD",MET,YMOT
"Mount Gambier Airport, SA",MGB,YMTG
"Mount Hale Airport, WA",,YMHE
"Mount Isa Airport, QLD",ISA,YBMA
"Murray Island Airport, QLD",MYI,YMUI
"Newcastle-Williamtown Airport, NSW",NTL,YWLM
"Nifty Airport, WA",NIF,YCNF
"Nowra Airport, NSW",NOA,YSNW
"Nyngan Airport, NSW",NYN,YNYN
"Oakey Airport, QLD",OKY,YBOK
"Orange-Springhill Airport, NSW",OAG,YORG
"Parkes Airport, NSW",PKE,YPKS
"Pearce Airport, WA",,YPEA
"Perth Airport, WA",PER,YPPH
"Planet Downs Airstrip, QLD",,
"Port Hedland Airport, WA",PHE,YPPD
"Port Macquarie Airport, NSW",PQQ,YPMQ
"Prosperine Airport, QLD",PPP,YBPN
"Richmond RAAF Base, NSW",XRH,YSRI
"Rockhampton Airport, QLD",ROK,YBRK
"Schofields Airport, NSW",,YSFS
"Serpentine Airport, WA",,YSEN
"Sunshine Coast Airport, QLD",MCY,YBSU
"Sydney (unknown airport), NSW",,
"Sydney Harbour-Rose Bay SPB, NSW",RSE,
"Sydney-Kingsford Smith International Airport, NSW",SYD,YSSY
"Sydney-Mascot Airport, NSW",SYD,YSSY
"Tamworth Airport, NSW",TMW,YSTW
"Taree Airport, NSW",TRO,YTRE
"Temora Airport, NSW",TEM,YTEM
"Tennant Creek Airport, NT",TCA,YTNK
"Tenterfield Airport, NSW",,YTFD
"Thangool Airport, QLD",THG,YTNG
"The Grove Airport, NSW",,YTGV
"Toogoolawah Airport, QLD",,YTLH
"Toowoomba Airport, QLD",TWB,YTWB
"Townsville Airport, QLD",TSV,YBTL
"Townsville RAAF Station, QLD",TSV,YBTL
"Townsville SPB, QLD",,
"Townsville-Garbutt Airfield, QLD",TSV,YBTL
"Warrnambool Airport, VIC",WMB,YWBL
"Weipa Airport, QLD",WEI,YBWP
"Western Junction Airport, TAS",LST,YMLT
"Wilton Airfield, NSW",,
"Wilton Airport, NSW",,YWIO
"Windorah Airport, QLD",WNR,YWDH
"Yorke Island Airport, QLD",OKR,YYKI
Gmunden Airfield,,LOLU
Graz-Thalerhof Airport,GRZ,LOWG
Hohenems-Dornbin Airport,HOH,LOIH
Innsbruck-Kranebitten Airport,INN,LOWI
Klagenfurt Airport,KLU,LOWK
Krems Airport,,LOAG
Linz-Blue Danube Airport,LNZ,LOWL
Salzburg-W. A. Mozart Airport,SZG,LOWS
Tulln/Langenlebarn-Brumowski Air Base,,LOXT
Wien Air Base,VIE,LOWW
Wien-Aspern Airport,,LOWA
Wien-Schwechat International Airport,VIE,LOWW
Wien-Schwechat RAF Station,VIE,LOWW
Zell Am See Airport,,LOWZ
Zeltweg Air Base,,LOXZ
Baku-Bina International Airport,BAK,UBBB
Baku-Heydar Aliyev International Airport,GYD,UBBB
Gyandzha Airport,KVD,UBBG
Nakhichevan Airport,NAJ,UBBN
Stepanakert Airport,,
Sumqayit-Nasosnaya Air Base,,
Andros Town Airport,ASD,MYAF
